Course Code,Course Name,Course Description,Prerequisite,Corequisite,Equivalents
STAT 400,Statistical Communication and Consulting,"Development of broad guidelines for a comprehensive approach to data analysis with a focus on communicating statistical ideas from planning experiments to the presentation of results. Topics include criteria for selection of suitable methodologies, data preparation, outlier detection, and exploratory data analysis. Credit will be granted for only one of DATA 500 or STAT 400 when the subject matter is of the same nature.",DATA 311 and DATA 315,,
STAT 401,Probability and Statistical Inference,"Formal introduction to the theory of statistical modelling with a focus on distributions of data, likelihood based inference for learning unknown parameters, construction of confidence intervals and development of tests. Bayesian methods will be used to contrast standard statistical procedures.",STAT 303,,
STAT 403,Stochastic Processes,"Random walks, Markov chains, Poisson processes, continuous time Markov chains, birth and death processes, exponential models, and applications of Markov chains.",STAT 303,,
STAT 406,Environmetrics,"Foundation of the use of statistical concepts and methods in environmental science and management. Scientific problem-solving using statistical methods. Integration of the formulation of objectives, study design, and quantitative methods appropriate for the design. The role and use of statistical software packages.",DATA 310,,
COSC 303,Numerical Analysis,"Numerical techniques for basic mathematical processes and their analysis. Taylor polynomials, root-finding, linear systems, eigenvalues, approximating derivatives, locating minimizers, approximating integrals, solving differential equations. Credit will be granted for only one of COSC 303 or MATH 303.",MATH 200 and MATH 221 and either COSC 111 or DATA 301,,MATH 303
COSC 322,Introduction to Artificial Intelligence,AI and intelligent agents; state space search; game playing agents; logic and knowledge-based agents; constraint programming; planning; reasoning and decision making under uncertainty; machine learning; natural language understanding. Credit will be granted for only one of COSC 322 or COSC 522.,COSC 221 and COSC 222,,
COSC 329,Learning Analytics,"Introduction to data analytics and machine learning techniques in the context of educational data. Focuses on user profiling, collaborative filtering, clustering, Bayesian user modeling, preference elicitation, and plagiarism detection. ",COSC 222 and STAT 230,,
COSC 344,Image Processing and Applications,"Fundamental theoretical and practical concepts for processing and analyzing real-world digital images and videos, image enhancement and filtering, frequency domain and other transform analysis, morphological image operations, image segmentation, and object recognition. Credit will be granted for only one of COSC 344, COSC 435, or COSC 445.",COSC 222 and MATH 200 and MATH 221,,
COSC 407,Introduction to Parallel Computing,"Design and implementation of parallel programs including theoretical computer models, parallel architectures (distributed, multicore, GPU), and standard parallel libraries. Credit will be granted for only one of COSC 407 or COSC 507.",COSC 111,,
COSC 421,Network Science,"Graphs and complex networks in scientific research. Probabilistic and statistical models. Structures, patterns, and behaviors in networks. Algorithmic and statistical methods (online/mobile), social networks, and social media platforms. Social influence, information diffusion, and viral marketing. Sentiment analysis and opinion mining. Data privacy. Search engines and recommendation systems. Credit will be granted for only one of COSC 421, COSC 521, DATA 421 or DATA 521.",STAT 230,,
MATH 303,Numerical Analysis,"Numerical techniques for basic mathematical processes and their analysis. Taylor polynomials, root-finding, linear systems, eigenvalues, approximating derivatives, locating minimizers, approximating integrals, solving differential equations. Credit will be granted for only one of MATH 303 or COSC 303.",MATH 200 and MATH 221 and either COSC 111 or DATA 301,,COSC 303
MATH 307,Applied Linear Algebra,"Dependence/independence, bases and orthogonality; linear transformations from Rn to Rm; change of basis; triangularization; quadratic forms in variables.",MATH 221,,
MATH 409,Mathematics of Financial Derivatives,"Pricing theory of financial derivative securities. Options and markets, present and future values, price movement modeled by Brownian motion, Ito's formula, parbolic partial differential equations, Black-Scholes model. Prices of European options as solutions of initial/boundary value problems for heat equations, American options, free boundary problems.",MATH 221 and MATH 319 and one of MATH 302 or STAT 303,,
PHYS 420,Data and Image Processing,"Introduction to digital signal and image processing. Correlation, convolution, Fourier transforms, digital filtering, model of image formation and degradation, image filtering in the spatial and Fourier domain, deconvolution, multivariate analysis.","All of MATH 225, MATH 317 and 3 credits in 200-level Physics",,
DATA 405,Stochastic Modelling and Simulation,"Pseudorandom number generation and testing. Simulation and modelling of univariate and multivariate data; stochastic models, including Poisson processes and Markov chains; MCMC simulation, hidden Markov models, and queuing systems. Credit will be granted for only one of COSC 405, DATA 405, COSC 505, or DATA 505.",STAT 205,,
DATA 407,Sampling and Design,"Planning/practice of data collection. Pros/cons of both observational and experimental data. Survey samples: random sampling; bias and variance; unequal probability sampling; systematic, multistage, and stratified sampling; ratio and regression estimators. Experimental design: simple one-way comparisons; designs with randomization restrictions including blocking, split-plots, nested and repeated measures designs. Credit will be granted for only one of DATA 407 or STAT 507.",STAT 205,,
DATA 410,Regression and Generalized Linear Models,"Regression, linear models, generalized linear models, additive models, generalized additive models, mixed models, theory and numerical performance.",DATA 310,,
DATA 310,Applied Regression Analysis,"Theory and application of simple and multiple linear regression models, estimation, inference (confidence intervals, prediction intervals and hypothesis testing), polynomial regression, ANOVA and ANCOVA, variable selection, model adequacy and residual diagnostics.",STAT 205 or MATH 221.,,
DATA 315,Applied Time Series and Forecasting,"Trends, stationary and nonstationary time series models, forecasting, seasonal models.",STAT 205,,
MATH 319,Introduction to Partial Differential Equations,"Methods of separation of variable, Fourier series, heat, wave and Laplace's equations, boundary value problems, eigenfunction expansions, and Sturm-Liouville problems.",MATH 200 and MATH 225,,
MATH 225,Introduction to Differential Equations,"First-order equations, initial value problems, existence and uniqueness theorems, second-order linear equations, superposition of solutions, independence, general solutions, non-homogeneous equations, phaseplane analysis, numerical methods, matrix methods for linear systems, and applications of differential equations to the physical, biological, and social sciences.",MATH 101,MATH 221,
MATH 317,Calculus IV,"Parametrizations, inverse and implicit functions, integrals with respect to length and area; grad, div, and curl, and theorems of Green, Gauss, and Stokes.",MATH 200,,
ECON 102,Principles of Macroeconomics,"Elements of theory and Canadian policy and institutions concerning the economics of growth and business cycles, national income accounting, interest and exchange rates, money and banking, the balance of trade.",,,
APSC 177,Engineering Computation and Instrumentation,"Computer systems, software development, operating systems, compilers, programming in a high-level language, selection and loop structures, functions, arrays, pointers, files, data acquisition, solving engineering problems with computer programs.",,,
BIOL 202,Introduction to Biostatistics,"Data analysis methods for biologists including sampling and experimental design, visualizing and describing data, probability, hypothesis testing, comparisons of proportions and means, correlation and regression analysis, analysis of variance, non-parametric, permutation-based tests, and the central roles that statistical analyses and reproducibility play in scientific research. R and RMarkdown are used to visualize and analyze data, and to communicate findings using literate programming.",MATH 100,,
PSYO 373,Advanced Research Methods and Statistics,"Addresses selected issues on the validity and quality of research, complex research designs, and associated statistical analyses. Students will gain additional experience in the use of standard statistical computer programs.",PSYO 372,,
PSYO 372,Research Methods and Statistics,"Examination of sophisticated research designs and associated statistical methods. Direct research experience involving design, collection, and analysis of data in a formal research report; familiarity with use of computer programs to analyze research results.",PSYO 270 and PSYO 271,,
PSYO 270,Introduction to Research Methods and Design,Introduction to the procedures and difficulties in the design and critical evaluation of research in experimental psychology. Various research designs and basic statistics. A required course for students majoring in Psychology.,PSYO 111 and PSYO 121,,
PSYO 271,Introduction to Data Analysis,"Introduction to behavioural data analysis focusing on the use of inferential statistics in psychology and the conceptual interpretation of data as related to basic experimental designs (laboratory, field research methods). A required course for students majoring in Psychology. STAT 121 is recommended.",PSYO 270,,
PSYO 111,Introduction to Psychology: Basic Processes,"Survey of topics in psychology which relate to basic processes. Methods and statistics, the nervous system and physiological processes, sensation and perception, learning, cognition and memory.",,,
PSYO 121,Introduction to Psychology: Personal Functioning,"Survey of topics in psychology which relate to personal functioning. Methods and statistics, motivation and emotion, life span development, social processes, personality, abnormal behaviour, and psychotherapy.",PSYO 111,,
APSC 254,Instrumentation and Data Analysis,"Data acquisition, sensors, instrumentation, measurement techniques and their limitations, experimental design, and data analysis; statistics, basic probability; application of statistics to data analysis.",APSC 173 and APSC 178,,
APSC 173,Engineering Analysis II,"Integrals and transcendental functions, techniques of integration, applications of integration, polar coordinates, infinite sequences and series, vectors and the geometry of space, and partial derivatives.",APSC 172,,
APSC 172,Engineering Analysis I,"Functions, limits, differentiation, applications of derivatives, integration, applications of definite integrals.",,,
APSC 178,"Electricity, Magnetism, and Waves","Electric fields and forces, electric potential, capacitance, DC circuits, magnetic fields and forces, Faraday's law, inductance, waves, light, and optics.",APSC 172,APSC 173,
MATH 220,Mathematical Proof,"Sets and functions; induction; cardinality; properties of the real numbers; sequences, series, and limits. Logic, structure, style, and clarity of proofs emphasized throughout.",MATH 101,,
STAT 203,Introduction to Probability,"Combinatorics. Axioms of probability. Discrete and continuous random variables, expectation, and variance. Transformations. Central limit theorem and applications. Weak law of large numbers.",DATA 101 and MATH 101,,
STAT 205,Introduction to Mathematical Statistics,"Sampling distribution theory. Likelihood. Parameter estimation. Confidence intervals and hypothesis testing; simple regression, analysis of variance and contingency table analysis.",STAT 203,,
MATH 222,Linear Algebra,"Vector spaces, linear maps, change of basis, eigenvalues and eigenvectors, Jordan canonical forms, matrix decomposition, inner product spaces, orthogonality, linear operators.",MATH 221,,
CORH 203,Communication in the Sciences,"Practice-based course that develops intermediate level communication skills in the sciences. Emphasis on analysis of scientific literature and communicating science to experts in the discipline and lay audiences, in written, visual, oral, and digital modes.","One of ENGL 109, ENGL 112, ENGL 114, ENGL 150, ENGL 151, ENGL 153, ENGL 155, ENGL 156, APSC 176",,
BIOL 116,Biology for Science Majors I,"First of a pair of courses that introduce students to the biological concepts necessary to continue into second-year biology. Covers evolutionary theory and its underlying genetic basis, basic cell biology, plant and animal nutrition, and energy acquisition.",,,
BIOL 117,Evolution and Ecology,"Evolutionary theory and its underlying genetic basis; population, community, ecosystem, and behavioural ecology. Specific case studies and current environmental concerns.",,,
BIOL 122,Physiology of Multicellular Organisms,Physiological adaptations of plants and animals to their environments. Structure/function relationships of human organ systems.,,,
BIOL 125,Biology for Science Majors II,"Continuation of BIOL 116. Introduction to biological concepts necessary for second-year biology. Physiology of reproduction, gas exchange, inter-organ transport, inter-organ coordination in plants and animals, and excretion and movement in animals. Ecosystem, population, community, and behavioural ecology are discussed.",BIOL 116,,
BIOL 131,Human Anatomy and Physiology I,"Introduction to human structures and functions, emphasizing basic physiological principles, plus cell and tissue structure. Laboratory work will include gross and microscopic anatomy, and will demonstrate underlying physiological processes.",BIOL 122,,
BIOL 133,Human Anatomy and Physiology II,Continuation and completion of the comprehensive survey of human structures and functions started in BIOL 131.,BIOL 131,,
CHEM 113,Principles of Chemistry II,"General and ionic equilibrium, solubility, thermodynamics. Introductory organic chemistry: stereochemistry; substitution, elimination, and oxidation-reduction reactions.",CHEM 111,,
CHEM 123,Atomic and Molecular Chemistry,"Stoichiometry, atomic and molecular structure, chemical periodicity, gases, liquids, solids, and solutions.",CHEM 121,,
EESC 111,Earth Science,"Origin, structure and composition of Earth. Plate tectonics as the unifying mechanism for mountain building, formation of ocean basins, and assembly and break-up of continents. Minerals, rocks, Earth surface processes, geological maps, natural resources and hazards.",,,
EESC 121,Earth History,"Origin of rocks, oceans, atmosphere and the record of life on Earth. Scientific methods of studying Earth history. Geologic time, dating methods, the stratigraphic record. Organic evolution, the fossil record, and extinctions. ",,,
MATH 327,Analysis I,"The real number system, real Euclidean n-space; open, closed, compact, and connected sets; Bolzano-Weierstrass theorem; sequences and series; continuity and uniform continuity; differentiability and mean-value theorems; Riemann or Riemann-Stieltjes integrals. [3-0-0]",MATH 220,,
